player,goals,assists,blocks,catches,completions,throwaways,drops,callahans
A Olsen,1,0,0,4,8,0,0,0
A Taylor,1,0,0,11,31,0,0,0
Allan L,0,2,1,7,6,0,0,0
Batson,6,0,0,0,2,0,0,0
Big Mike,0,0,0,1,0,0,0,0
Birdsong,1,0,0,1,3,0,0,0
Burgess,0,0,0,2,1,0,0,0
Bush,1,1,1,7,10,0,1,0
C Olsen,0,4,1,25,20,1,1,0
Caldwell,0,0,0,3,3,0,0,0
Cary,1,0,0,1,3,0,1,0
Crowe,0,0,0,2,6,0,0,0
Cutts,0,0,0,3,1,0,0,0
Danny On,1,1,0,9,7,0,0,0
French,1,1,0,3,5,0,0,0
Gainer,1,0,0,2,12,1,0,0
Hunt,0,0,0,3,9,0,0,0
JP Burns,1,2,0,29,14,2,1,0
Jaime,0,0,0,4,1,0,0,0
Karl E,1,0,0,1,2,0,0,0
Kelvin,2,1,2,1,2,0,0,0
Knowles,1,1,1,5,8,0,0,0
Kyle S,0,1,1,12,9,1,0,0
Matt S,1,4,0,24,28,1,0,0
Micah Jo,0,0,0,1,1,0,1,0
Minch,2,2,1,10,17,2,0,0
Parker,1,3,1,20,18,1,0,0
Patrick,0,0,0,5,5,1,0,0
Perivier,0,1,0,9,18,0,0,0
Player,1,1,1,4,13,1,0,0
Rae,0,0,0,2,1,0,0,0
Rogers,0,0,0,4,1,0,0,0
Sperling,0,2,0,1,11,0,1,0
Sun,0,2,1,11,16,1,0,0
Thor,0,1,0,3,5,1,0,0
Trenton,0,1,0,15,10,1,1,0
Will L,2,1,1,1,1,0,0,0
Yusuf,0,0,0,1,1,0,0,0
A Davis,0,0,0,8,13,1,0,0
A Walch,3,1,1,6,9,0,1,0
ABrouwer,0,0,0,0,0,0,0,0
B Adams,1,0,1,3,3,0,0,0
B Gfroer,0,0,0,1,2,0,0,0
B Gramma,0,0,0,0,0,0,0,0
Bigley,1,1,0,0,3,1,0,0
C Brooks,1,0,0,0,6,0,0,0
C Cunnin,2,5,3,17,23,7,0,0
C Grimm,0,0,0,0,0,0,0,0
C Mika,0,0,0,1,0,0,0,0
C Vargas,0,1,0,0,5,1,0,0
D Richar,0,0,1,10,7,1,0,1
E Moore,1,1,0,2,2,0,0,0
EPollack,1,1,1,5,19,1,1,0
J Cecil,1,1,0,1,2,0,0,0
J Wolfe,2,2,0,4,4,1,0,0
J Zdrodo,1,1,0,0,8,1,0,0
JCecil,0,0,1,0,1,0,0,0
JHollera,0,0,1,0,1,0,0,0
JLoskorn,0,2,1,8,45,4,0,0
K Daftar,0,0,0,0,1,0,0,0
K Henke,2,2,0,20,1,2,1,0
K Thomas,0,1,0,9,9,0,0,0
Kamron D,1,0,0,1,1,0,0,0
Kevin Ha,0,0,0,0,0,0,0,0
M Biersc,1,1,0,9,1,0,1,0
M Cook,1,4,1,22,34,1,0,0
M Natenb,0,2,0,3,29,2,0,0
M Walter,0,0,1,0,0,0,0,0
MMatthis,3,2,1,9,1,2,0,0
MaBennet,0,1,1,10,3,2,0,0
MiBennet,0,0,0,0,0,0,0,0
Murphy,0,0,0,0,0,0,0,0
N Whale,0,0,0,2,1,0,0,0
Naji,0,0,0,0,0,0,0,0
Nash Moc,0,0,0,1,1,0,0,0
P Starke,0,1,0,9,13,0,0,0
R Lewis,1,2,0,5,12,1,0,0
R Orloff,7,1,0,2,23,1,0,0
RPurcell,1,3,0,8,14,1,0,0
Rogers,0,0,0,0,1,0,0,0
T Chiu,0,0,0,0,0,0,0,0
Unknown,0,0,0,1,0,0,0,0
VRenshaw,1,1,1,2,1,1,0,0
Bill,0,1,1,4,2,0,0,0
Bruno,0,0,0,0,0,0,0,0
CJ,0,1,0,2,2,0,0,0
Chowder,1,0,0,3,4,1,0,0
Danny,4,1,1,21,20,3,0,0
Dave,0,0,0,6,8,1,0,0
Drew,1,0,1,3,6,1,0,0
Goff,5,3,1,31,13,0,0,0
Grant,0,1,0,7,5,0,0,0
Jack,1,0,0,1,6,0,1,0
Jason,1,1,2,1,3,0,0,0
Jeff,0,1,0,12,10,1,0,0
Jeremy,0,0,0,4,10,1,0,0
Jimmy,0,0,1,7,4,1,0,0
Judah,0,0,0,6,4,0,0,0
Karl,1,1,1,3,4,0,0,0
Kurt,6,1,0,21,24,1,0,0
Mater,0,0,0,3,2,0,0,0
Max,1,0,1,23,26,0,1,0
Neal,0,0,1,17,1,0,0,0
Nick,0,0,0,4,2,0,0,0
Nicky,0,0,0,3,14,0,0,0
Pardo,5,2,1,15,15,4,0,0
Pawel,0,6,0,44,57,3,1,0
Roddy,0,0,0,1,0,0,0,0
Ross,3,4,0,21,29,5,1,0
Simon,0,0,0,21,6,2,1,0
Slymer,0,1,0,0,5,1,0,0
Tommy,0,1,1,18,22,0,0,0
Uber,1,0,0,2,4,1,0,0
Vock,0,0,0,0,0,0,0,0
Wets,3,1,1,20,20,1,0,0
Zeman,0,1,1,7,5,1,0,0
Ben R,0,0,0,5,2,0,0,0
Blake,0,0,0,0,0,0,0,0
Borik,0,0,0,10,1,1,0,0
C Olson,1,0,0,15,5,1,0,0
CLarberg,0,0,0,5,2,1,0,0
CUghetta,0,0,0,2,4,0,0,0
Carson,1,1,0,30,24,2,0,0
Carter,0,1,0,9,4,0,0,0
Casey,0,0,0,3,2,2,0,0
Chris P,1,0,0,1,1,0,0,0
Dalton,0,5,1,50,43,4,0,0
Danimal,1,0,1,3,2,0,0,0
Dillon,1,3,4,33,25,1,0,0
E-Bay,3,1,0,6,3,0,0,0
Griffin,0,0,1,3,1,0,0,0
Henry,1,0,0,6,9,1,0,0
Jack W,0,0,0,1,2,0,0,0
Jay,5,2,1,20,27,1,0,0
Joe C,0,0,0,0,0,0,0,0
Joe T,0,0,0,5,2,0,0,0
Joel,1,0,1,1,10,1,0,0
K Bow,0,0,1,0,0,0,1,0
K Rich,4,3,1,31,25,1,1,0
Kai,1,1,1,4,11,1,0,0
Kaplan,2,0,1,8,6,1,0,0
LaRocque,1,3,1,59,55,0,0,0
Matthew,0,0,0,2,2,0,0,0
Matty J,2,2,1,1,9,0,0,0
Muffin,1,1,1,18,67,2,0,0
Noah,0,0,0,2,2,0,0,0
Peter,0,0,0,2,0,0,0,0
Reese,0,0,0,1,3,0,0,0
Reid,1,0,0,4,0,1,0,0
Riggins,0,0,0,6,4,0,0,0
Ryan,0,0,0,1,0,0,0,0
Suds,1,1,0,9,9,0,0,0
Thomas,4,1,0,10,9,1,1,0
Wesley,1,0,0,2,0,0,0,0
Zach M,0,1,2,9,4,1,0,0
Aaron L,0,0,1,2,1,1,0,0
Alex F,1,0,2,8,1,1,0,0
Alex L,0,0,0,5,5,0,0,0
Austin B,0,2,0,12,19,1,0,0
Ben P,0,1,0,0,1,0,0,0
Brad S,0,1,0,5,6,0,0,0
Chris B,4,1,0,17,5,0,0,0
Chris Be,0,0,0,0,0,0,0,0
Cory B,1,0,1,4,19,0,0,0
David S,0,1,0,8,5,0,0,0
Eric M,1,0,0,18,14,1,0,0
Gabe W,0,1,1,4,7,0,0,0
Houst P,1,0,1,0,4,0,0,0
Jeff W,2,3,1,48,45,1,0,0
Joe R,1,1,0,2,1,1,0,0
John W,0,1,0,2,4,1,0,0
Jonny M,2,0,0,6,8,0,0,0
Kyle K,3,1,1,2,4,0,0,0
Leo P,0,0,0,1,4,0,0,0
Lloyd B,1,2,1,32,28,0,1,0
Marcus T,1,0,0,4,12,1,0,0
Matt K,4,0,0,20,20,0,1,0
Matt N,0,0,1,9,1,1,0,0
Max C,1,1,0,6,18,2,1,0
Nate C,1,1,1,3,3,1,0,0
Nate P,1,0,2,27,21,0,0,0
Peter M,0,0,0,6,4,1,0,0
Quinn B,1,1,0,1,0,1,0,0
Rhys B,0,2,1,2,12,1,0,0
Rico J,3,3,2,12,17,1,1,0
Rowen M,2,1,2,35,43,3,1,0
Ryan S,1,2,2,14,30,1,0,0
Troy H,1,1,3,24,9,0,0,0
Xavier M,1,2,0,7,4,5,0,0
Zach N,0,0,0,6,12,1,1,0
Andy,0,2,0,8,13,1,0,0
Basten,2,1,1,9,7,0,1,0
Besser,0,1,0,26,23,1,0,0
Billy,0,0,0,0,0,0,0,0
Brendan,0,0,1,8,1,4,0,0
Bubbles,1,0,1,2,4,1,0,0
Burke,1,3,0,4,4,1,0,0
Channing,2,0,0,34,6,1,3,0
Chris,0,0,0,6,8,0,0,0
Colucci,0,0,0,12,7,2,0,0
Compo,0,0,1,3,3,1,0,0
D Yu,1,0,0,3,11,4,0,0
Danny,0,0,0,3,3,0,0,0
David,0,0,0,4,1,1,0,0
Drew,0,0,0,8,16,1,0,0
Evan,0,0,1,0,13,1,0,0
Jay,1,2,1,42,55,4,0,0
Josh,0,1,0,30,20,5,0,0
Justin,1,2,2,7,1,2,0,0
Karl,0,2,1,23,21,1,1,0
Kevin,1,0,1,10,6,1,0,0
Leslie,0,0,0,0,10,2,0,0
Luis,1,0,2,2,5,0,1,0
Mark,1,0,2,12,2,1,0,0
Noah,0,0,2,11,16,3,0,0
Nolan,1,0,0,3,4,1,0,0
Parker,0,1,1,14,11,0,0,0
Pip,1,0,0,8,6,1,0,0
Rio,1,0,1,18,18,3,2,0
Ryan,0,1,0,9,6,0,0,0
Shrew,1,0,0,4,2,0,0,0
Tate,4,0,0,23,21,2,0,0
Tim,0,1,0,12,8,0,0,0
Tom,0,0,0,2,3,3,0,0
Trey,0,1,2,16,20,1,1,0
Troy,0,0,1,0,6,1,0,0
Wes,0,0,0,0,0,0,0,0
X,1,0,0,2,3,0,0,0
Yergin,0,1,0,4,6,3,0,0
Zach,0,0,0,10,4,1,1,0
Aaron S,0,2,1,6,17,1,1,0
Alex H,1,1,0,3,6,1,0,0
Cam B,4,1,0,13,20,1,0,0
Colin R,1,1,0,3,1,2,0,0
Colton S,1,0,1,2,1,1,0,0
Conner H,1,1,1,5,6,0,1,0
Connor L,1,0,1,2,3,0,0,0
Dan C,0,0,1,1,1,0,0,0
Donova T,0,2,0,7,14,0,0,0
Heath K,1,0,1,2,2,0,1,0
Jake F,0,0,0,7,0,0,0,0
Jesse J,0,0,1,5,2,0,0,0
Joey C,0,0,1,2,3,1,0,0
John J,2,0,1,2,3,0,0,0
Jon W,0,0,2,3,5,1,0,0
Josh D,0,0,0,0,0,0,0,0
Keegan N,3,2,0,18,3,1,0,0
Keenan P,3,3,0,54,57,0,0,0
Kip C,2,0,1,6,5,0,1,0
Kyle C,0,1,0,32,22,3,0,0
Levi J,0,4,1,14,18,3,1,0
Michae A,0,0,0,6,5,1,0,0
Nathan B,0,0,0,1,3,0,0,0
Nick H,0,1,0,10,2,1,0,0
