player,goals,assists,blocks,catches,completions,throwaways,drops,callahans
Ryan,0,0,0,0,0,0,0,0
Suds,2,0,0,3,12,2,1,0
Thomas,1,0,0,17,15,0,0,0
Wesley,0,0,0,2,3,0,0,0
Zach M,2,1,2,3,4,1,1,0
Aaron L,1,1,1,2,1,0,0,0
Alex F,0,0,0,1,0,0,0,0
Alex L,0,0,0,4,1,0,0,0
Austin B,0,2,0,8,7,1,0,0
Ben P,0,0,0,1,2,0,0,0
Brad S,0,1,1,10,0,0,0,0
Chris B,1,1,0,5,7,0,0,0
Chris Be,0,0,0,0,0,0,0,0
Cory B,0,1,0,11,3,1,0,0
David S,1,1,1,2,3,1,0,0
Eric M,1,1,0,9,15,2,0,0
Gabe W,1,1,0,0,1,0,0,0
Houst P,0,0,0,0,1,0,0,0
Jeff W,2,1,1,18,15,3,1,0
Joe R,2,1,3,1,3,1,1,0
John W,1,1,0,2,4,1,0,0
Jonny M,2,1,0,8,1,0,0,0
Kyle K,1,0,0,10,4,0,0,0
Leo P,0,0,0,2,1,0,0,0
Lloyd B,1,2,0,19,42,2,1,0
Marcus T,0,1,1,13,4,0,0,0
Matt K,3,3,0,22,8,0,1,0
Matt N,0,0,0,7,4,0,0,0
Max C,1,2,0,3,3,1,1,0
Nate C,0,0,0,2,8,2,0,0
Nate P,1,1,1,59,40,3,0,0
Peter M,0,0,0,3,3,0,0,0
Quinn B,1,0,0,2,4,1,0,0
Rhys B,0,1,2,3,7,2,0,0
Rico J,2,1,2,13,10,0,1,0
Rowen M,1,5,3,36,28,7,0,0
Ryan S,1,1,0,22,14,0,0,0
Troy H,1,1,3,13,13,1,0,0
Xavier M,1,5,0,24,29,3,0,0
Zach N,0,2,0,10,0,1,0,0
Andy,0,1,0,8,12,0,0,0
Basten,0,0,0,7,6,1,0,0
Besser,1,2,0,18,21,0,0,0
Billy,1,0,1,0,2,1,0,0
Brendan,1,0,1,5,16,1,0,0
Bubbles,0,1,0,6,2,0,0,0
Burke,1,1,2,6,2,1,2,0
Channing,4,0,0,53,1,1,0,0
Chris,0,0,0,3,4,0,0,0
Colucci,0,0,0,1,4,1,1,0
Compo,0,0,0,7,13,2,0,0
D Yu,0,1,0,0,1,0,0,0
Danny,0,0,0,0,5,0,0,0
David,1,0,0,0,3,0,0,0
Drew,0,0,0,5,3,1,0,0
Evan,0,0,1,5,15,3,0,0
Jay,0,1,0,22,35,7,0,0
Josh,0,0,0,33,8,2,0,0
Justin,1,1,2,9,3,2,0,0
Karl,1,1,1,13,2,3,0,0
Kevin,0,0,1,1,1,1,0,0
Leslie,0,1,0,8,8,0,0,0
Luis,0,0,1,6,1,0,1,0
Mark,5,2,0,9,2,1,0,0
Noah,0,0,0,3,18,0,0,0
Nolan,0,0,0,7,3,0,0,0
Parker,0,2,0,14,41,2,0,0
Pip,0,0,1,10,3,0,0,0
Rio,1,1,0,17,14,1,1,0
Ryan,0,1,0,4,9,0,0,0
Shrew,1,0,0,5,6,0,0,0
Tate,2,2,0,7,8,0,0,0
Tim,0,0,0,3,0,2,0,0
