id,name,goals_avg,goals_sd,assists_avg,assists_sd,blocks_avg,blocks_sd,catches_avg,catches_sd,completions_avg,completions_sd,throwaways_avg,throwaways_sd,drops_avg,drops_sd,callahans_avg,callahans_sd
306,K Brown,1.058823529,1.29762226,1.352941176,1.578811914,0.058823529,0.242535625,14.17647059,13.25346791,13.76470588,13.05531219,1.176470588,1.286239389,0.058823529,0.242535625,0,0
307,KPS,1.235294118,0.903424856,1.411764706,1.416810835,1.470588235,1.280510009,10.41176471,4.154197027,8.882352941,3.950986474,0.705882353,1.104802351,0.176470588,0.392952624,0,0
308,Kan,0,0,0.058823529,0.242535625,0,0,0.352941176,1.45521375,0.352941176,1.45521375,0,0,0,0,0,0
309,Kelly,0.411764706,0.870260272,0.117647059,0.332105582,0.176470588,0.392952624,2.058823529,3.071453,1.705882353,2.49411071,0.058823529,0.242535625,0.117647059,0.332105582,0,0
310,Keren,0,0,0.235294118,0.752446989,0,0,2.117647059,6.142905999,2.764705882,8.043082523,0.058823529,0.242535625,0.058823529,0.242535625,0,0
311,Knoche,1.588235294,1.502448981,0.470588235,0.624264273,1.647058824,1.538716042,4.705882353,3.036542151,3.176470588,2.157408576,0.235294118,0.437237316,0.176470588,0.392952624,0,0
312,Luo,0.470588235,0.624264273,1.117647059,1.536324874,0.411764706,0.618346942,11.05882353,9.079307437,13.35294118,10.54123556,0.705882353,0.919558718,0.058823529,0.242535625,0,0
313,Marty,0.882352941,0.992619825,0.294117647,0.587867532,0.764705882,1.091410313,3.058823529,2.276801162,2.235294118,1.855040827,0.058823529,0.242535625,0.117647059,0.332105582,0,0
314,Mason,0.352941176,0.785905248,0.058823529,0.242535625,0,0,0.529411765,1.280510009,0.235294118,0.562295715,0,0,0.058823529,0.242535625,0,0
315,Mawby,0.058823529,0.242535625,0.058823529,0.242535625,0.235294118,0.752446989,0.176470588,0.392952624,0.176470588,0.392952624,0,0,0,0,0,0
316,Meshnick,0.882352941,0.927520414,0.647058824,0.861769725,1.352941176,1.998160919,8.470588235,5.233517544,7.352941176,4.936359697,0.941176471,1.088036548,0.058823529,0.242535625,0,0
317,Meyer,0.588235294,0.870260272,0.058823529,0.242535625,0.588235294,1.064120736,2.588235294,3.021978316,2,2.761340254,0,0,0,0,0,0
318,Nelson,1,1.224744871,1.176470588,1.333945938,0,0,21.47058824,12.35980202,25.76470588,12.79418526,0.705882353,0.771743633,0.058823529,0.242535625,0,0
319,Poole,0,0,0.176470588,0.727606875,0.117647059,0.332105582,0.705882353,2.023755972,0.941176471,2.561020017,0.117647059,0.332105582,0,0,0,0
